Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación;HR
01-05-2023;48,9;16;3,3;0;360;16,3;0,6;22,2;12,2;33,2;2,4;20,5;0;0
02-05-2023;67,1;27;3,3;0;98;19;0,6;39,9;23,5;57,9;11,1;20,7;0;0
03-05-2023;85,1;34;4,6;0;360;17,9;0,8;32,8;23,6;56,4;6,9;22,2;0;0
04-05-2023;69,4;26;3,3;0;348;17,9;0,7;23,9;18,8;42,7;3,9;22;0;0
05-05-2023;113,5;35;3,2;0;348;27,9;0,7;17,8;23;40,6;1,4;20,1;0;0
06-05-2023;80,9;31;3,8;0;359;21,7;0,6;31,2;23,5;54,7;5,1;22,5;0;0
07-05-2023;60,1;24;3,5;0;358;19;0,6;11,7;16,8;26,6;10,6;24,9;0;0
08-05-2023;94,3;35;3,6;0,3;62;17,5;0,6;36,4;18,5;55;9;20,5;0;0
09-05-2023;70,5;31;3,9;0;350;13,5;0,6;30,4;16,1;45,7;4,6;21,2;0;0
10-05-2023;68,9;23;2,4;1,3;357;13,1;0,6;27,1;16,6;43,8;7,2;20,5;0;0
11-05-2023;50,4;19;3,4;0;307;18,2;0,6;26,1;18,7;44,7;11,3;22,9;0;0
12-05-2023;78;29;4,2;4,8;355;19,1;0,7;37,9;24,5;56,9;15,9;22,9;0;0
13-05-2023;51,5;22;4,6;0;354;13,6;0,5;17;23,5;40;21,2;21,7;0;0
14-05-2023;23,9;12;5,4;0;360;9,1;0,4;9,6;12,6;18,6;23,4;21,1;0;0
15-05-2023;38;17;2,9;0;359;9,4;0,6;27,4;10,9;36,9;5,9;20,7;0;0
16-05-2023;91,5;35;3,4;0,4;348;12,3;0,8;72;22,3;83,5;11,3;22,1;0;0
17-05-2023;77,5;54;2,2;0,2;360;23,1;1;61,9;31,2;74,6;4,6;24,4;0;0
18-05-2023;92,6;26;4,1;0;113;13,8;0,7;30,1;18,7;48,8;4,9;23,5;0;0
19-05-2023;57,8;18;3,2;0,3;351;14,2;0,5;21,7;18;37,5;12,5;22,1;0;0
20-05-2023;97,8;32;3,6;0;359;14,2;0,7;41,6;17,9;59,4;13,2;21,9;0;0
21-05-2023;72,3;27;3,4;0;356;22,4;0,7;35,9;13;45,9;7,9;23,6;0;0
22-05-2023;50,1;25;1,7;8,3;354;21,7;0,9;14,6;23,8;32,8;2,2;25;0;0
23-05-2023;31,7;17;2;15,8;358;12,9;0,7;34,4;23,2;55,6;17,6;22,2;0;0
24-05-2023;80,1;28;2,6;1,5;358;32,3;1;53,8;23,7;74,7;1,9;23,3;0;0
25-05-2023;50,5;32;1,9;17,4;359;16,9;1;24,9;34,9;53,8;9,4;23,2;0;0
26-05-2023;39,8;27;3,7;2,8;360;9,5;0,8;51,3;15,3;66,6;8,9;17,2;0;0
27-05-2023;52,9;25;4,3;5,1;356;10,8;0,7;48,4;12;58,2;25,2;21,6;0;0
28-05-2023;40,5;23;3,7;0,8;349;10,7;1,1;60,1;11,4;71,3;8,4;22,4;0;0
29-05-2023;60,7;42;2,5;0,3;358;18,5;0,8;50,9;17,3;58,3;6,6;22,3;0;0
30-05-2023;56,6;36;1,5;0;345;21,8;0,7;67,8;21,9;81,5;5,7;21,9;0;0
31-05-2023;38,1;25;4,2;0,2;138;10,3;0,6;25,9;12,1;36,6;2;22,5;0;0
01-06-2023;27,8;8;3,9;1,6;354;8,9;0,5;14,6;11;24,3;1,6;20;0;0
02-06-2023;46,9;15;4,4;0;358;18,5;0,7;36,5;15,8;49,9;3,2;20;0;0
03-06-2023;67;28;4,6;0;106;14,9;0,6;38,9;18,1;52;7,4;22,6;0;0
04-06-2023;57,9;19;3,3;0;354;14,7;0,6;19,1;16,5;35,5;5,3;21,5;0;0
05-06-2023;34,4;0;3;5,1;354;13,5;0,5;27,6;12,7;40,2;3;21,7;0;0
06-06-2023;41,4;13;3,9;0;355;12,6;0,7;19,8;15,5;33,7;5;19,6;0;0
07-06-2023;57,2;28;2,7;0;349;11,8;0,8;57,2;16,2;72,5;4,3;20;0;0
08-06-2023;51,1;22;3,1;0,8;356;12,7;0,7;37,2;15,2;48;2,5;21;0;0
09-06-2023;42,4;16;3,6;0;112;11,5;0,6;39,6;14,6;54,3;5,4;21,4;0;0
10-06-2023;69;25;3,4;0;355;11,7;0,7;58,6;15,6;68,6;12,7;22,4;0;0
11-06-2023;65,6;32;5;0;344;12,6;0,7;42,4;14;48,5;19,8;20,4;0;0
12-06-2023;32,1;25;3,8;0;328;15,6;0,5;26,8;15,3;35,8;4,7;20,2;0;0
13-06-2023;44,4;14;5,6;0;357;15,1;0,5;18,7;15,6;34,3;3,9;21,1;0;0
14-06-2023;54,8;16;4,1;2;358;13,1;0,6;13,9;16;29,8;4;18,1;0;0
15-06-2023;25,9;9;4,2;0,1;357;13,6;0,5;21,2;16,6;37,4;2,3;18,6;0;0
16-06-2023;34,2;20;5,2;0;341;9,9;0,5;27,7;14,3;42;2,2;18,8;0;0
17-06-2023;29,6;8;5,4;0;131;10,9;0,5;12,3;9,5;20,9;1,1;18,6;0;0
18-06-2023;28,6;6;5,6;0;146;11,3;0,4;9,7;9,1;15,9;1,1;17,4;0;0
19-06-2023;21,9;7;5,1;0;133;9,9;0,4;8,8;9,3;18,1;1,1;20,7;0;0
20-06-2023;30,6;12;5,3;0;137;9,7;0,5;33,1;11,6;44,7;1,4;19,9;0;0
21-06-2023;50,7;15;5,6;0;128;10,7;0,4;34,7;15;49,7;3,6;20,7;0;0
22-06-2023;102,6;54;3,4;0;352;10,3;0,8;73;13,2;86,2;7,9;21,7;0;0
23-06-2023;85,4;59;3,1;0;358;14,5;0,6;35,8;16,2;47,4;6,6;22,4;0;0
24-06-2023;140,7;32;4,6;0;356;16,4;0,5;17,9;17,4;30,7;3,7;24;0;0
25-06-2023;44;13;3,3;0,9;344;13,1;0,4;7,4;13,6;21;3,4;20;0;0
26-06-2023;35,5;23;3,3;0,6;122;15,1;0,5;20;13,9;33,8;7,1;21,7;0;0
27-06-2023;105;55;3,2;0;316;15,5;0,5;27,4;15,8;40,3;6;22;0;0
28-06-2023;112,3;43;3,6;0;307;14,4;0,5;31,4;15,5;47;3,6;23;0;0
29-06-2023;43,5;13;5;0;343;12,7;0,4;9;12,3;20;1,3;20,6;0;0
30-06-2023;28,9;10;4,9;0;134;13;0,4;11,9;13,8;25,8;1,4;19,3;0;0
01-07-2023;46,3;20;4,1;0;130;12,5;0,5;14,1;14,9;27,5;1,8;20,5;0;0
02-07-2023;35,4;14;3,4;6,5;354;11,8;0,4;16,8;12,4;28,4;4,1;21,5;0;0
03-07-2023;36,1;43;3,1;2,4;360;17,2;0,6;31,3;18,1;47,9;7,3;22,6;0;0
04-07-2023;57,2;43;2,1;0,5;360;18,8;0,6;52,2;22,2;63,9;5,5;22,7;0;0
05-07-2023;54,9;33;3,4;0;359;13;0,6;63,1;17,3;78,1;4,6;20,2;0;0
06-07-2023;45,7;22;2,8;0,3;354;9,8;0,5;40,1;13,9;53,7;3;19,7;0;0
07-07-2023;44,1;29;2,8;0;359;14,6;0,7;72,8;13,8;83,3;6,7;22,9;0;0
08-07-2023;34;17;2,2;1;355;12,9;0,4;23,9;15,4;36,8;4,7;19,3;0;0
09-07-2023;30,2;12;4,3;0;116;14,7;0,5;9,6;15,3;24,8;2,8;18,8;0;0
10-07-2023;25,6;15;3;1,4;90;15,2;0,5;23,8;17;39;5,2;19,9;0;0
11-07-2023;42,7;13;4,4;0;354;15,1;0,4;15,4;16,6;31,6;2,7;19,7;0;0
12-07-2023;92,8;29;3,8;0;358;14,7;0,7;45,9;17,9;62,2;6,7;20,3;0;0
13-07-2023;78;31;3,7;1,5;344;14,8;0,7;48,3;18;65,2;3,2;22,1;0;0
14-07-2023;45,7;20;2,7;6,8;359;9,9;0,7;30,9;17,4;47,6;2,7;18,5;0;0
15-07-2023;36,5;16;4,1;0,1;357;13;0,5;23,8;18;41,8;4,4;20,9;0;0
16-07-2023;24,7;9;3,5;0,9;353;13,3;0,4;7,2;13;20,1;3,1;21,2;0;0
17-07-2023;31,4;9;4,9;0,3;125;14,1;0,4;11,7;15,3;26,9;2,1;19,7;0;0
18-07-2023;27,2;11;4,3;0;121;12,9;0,4;22,6;16,5;39,1;1,6;19,6;0;0
19-07-2023;57,1;19;4,5;0,3;339;11,4;0,5;16,9;14,7;31,4;0,7;17,5;0;0
20-07-2023;19,7;8;5,7;0;126;13,7;0,5;11,1;13,2;24,3;0,7;19,4;0;0
21-07-2023;31;9;4,5;0;126;11,9;0,5;7,5;12,7;19,7;0,5;18,3;0;0
22-07-2023;33,4;14;5;0;142;15,3;0,4;6,6;11,8;17,8;0,8;18,3;0;0
23-07-2023;32,3;10;3,1;0;92;14,6;0,4;10,3;16,1;26,4;1,2;19,3;0;0
24-07-2023;48,5;19;4,5;0;102;14,4;0,4;20,8;15,4;35,9;0,7;21,7;0;0
25-07-2023;67,5;34;3,2;1,4;359;14,1;0,6;29,5;16,2;44,4;1,8;22,1;0;0
26-07-2023;51,6;32;2,5;0;351;28,5;0,7;38,3;24,6;51;5,3;22,6;0;0
27-07-2023;46,2;21;4,1;1,9;352;16;0,5;12,3;16,2;27,1;1,2;22,1;0;0
28-07-2023;64,7;22;3,4;0;118;14,5;0,6;33,3;15;47,9;6,9;22,3;0;0
29-07-2023;66,4;16;5,5;0,1;126;14,2;0,5;26,5;16,4;42,3;1,1;20,3;0;0
30-07-2023;34,4;15;4,3;0;143;15,8;0,4;4,6;12,6;16;2;19,4;0;0
31-07-2023;49,8;17;5,3;0,8;155;13,1;0,5;12,9;14,2;26,6;1;17,9;0;0
01-08-2023;19,5;12;6,4;0,1;358;19,4;0,5;12,3;18,3;27,9;0,7;17,1;0;0
02-08-2023;84,5;31;3,9;2,3;306;16;0,4;12;18,6;30,6;4,5;19,5;0;0
03-08-2023;53,7;19;2,9;0,4;356;18,5;0,6;25,9;21,1;46,3;1,2;19,6;0;0
04-08-2023;83;27;4,1;0;355;19,7;0,6;24,9;19;41,5;3,8;22,2;0;0
05-08-2023;42,1;22;4,3;3,4;360;20;0,7;35,4;20,2;51,9;4;20,2;0;0
06-08-2023;27,6;15;4,3;1,1;359;14,6;0,4;6,9;17,2;20,9;7,8;19,7;0;0
07-08-2023;21,9;14;5,6;0,2;357;13,9;0,3;9,3;15,5;19,8;4,2;21,1;0;0
08-08-2023;76,3;23;5,1;0;358;20,5;0,8;49,2;20,7;69,4;4,3;20,6;0;0
09-08-2023;89,2;38;2,6;0,4;350;18,8;0,7;43,6;21,3;62,1;2,3;19,7;0;0
10-08-2023;64,7;31;2,8;0;355;35;1,1;80,3;19,2;97,7;5,6;22,7;0;0
11-08-2023;41,4;15;4,1;0,7;353;13,4;0,6;20,8;18,5;37,3;2;18,9;0;0
12-08-2023;56,8;29;3,5;0,4;358;18,6;0,7;48,5;17,3;65,3;2,8;19,8;0;0
13-08-2023;33,8;16;3,9;0,2;129;20,5;0,5;12,4;18,9;29,6;4,1;18,7;0;0
14-08-2023;76;27;4,3;2,2;337;17,5;0,6;45,6;17,7;63,3;3,1;21,6;0;0
15-08-2023;49,7;25;3,5;0,3;359;15,4;0,7;25,1;20,6;45,7;3,2;20,8;0;0
16-08-2023;84,6;38;4,4;0;358;16,6;0,7;60,9;16,4;75,4;3,1;22,7;0;0
17-08-2023;69,2;35;3;0;354;20,2;0,6;31,6;23,5;45,3;4,4;23,2;0;0
18-08-2023;120,1;41;2,5;2,7;360;25,2;0,9;77,8;32,8;91,5;3;23,1;0;0
19-08-2023;50,9;39;2,2;5;359;30,5;0,9;54,5;20,1;70,9;2,4;23;0;0
20-08-2023;28,9;22;2,8;2;349;31,5;0,5;14,8;17,3;31,8;2,9;23,5;0;0
21-08-2023;41,7;16;2;30,4;359;24,5;0,5;13;15,2;27,1;1,6;21,8;0;0
22-08-2023;38,4;17;4,7;1,8;120;17,6;0,6;15,2;19;33;0,9;19,7;0;0
23-08-2023;47,9;31;3,9;0;358;24,7;0,7;57,8;19,6;73,4;1,4;23;0;0
24-08-2023;70,6;25;4;0;346;18,7;0,6;20;22,4;42,4;6,4;20,9;0;0
25-08-2023;62,7;25;4,5;0;350;21,3;0,7;21,1;21,3;41,9;2,2;21,4;0;0
26-08-2023;104,6;38;4,2;0;355;27,7;0,8;57,2;20,9;73;6,1;23,4;0;0
