Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación ;HR
25-03-2023;43,1;33;3,3;0,1;352;44,6;0,9;10,4;25,8;34,9;0,9;16,6;0;0
26-03-2023;42,3;33;5,1;0;352;45,8;0,6;2,3;13,6;15,9;0,7;17,8;0;0
27-03-2023;35,6;29;3,3;0;346;41;0,6;4,1;14,8;18,9;0,8;18,7;0;0
28-03-2023;48,3;33;3,1;9;332;37,5;1,2;20,7;33,2;52,3;1,3;19,1;0;0
29-03-2023;37,6;26;3,6;4,3;217;36,9;1;42,8;28,6;61,7;1,6;16,2;0;0
30-03-2023;44,3;23;3,7;0,1;334;40,2;1,1;25,8;28,6;54,4;1,2;18,5;0;0
31-03-2023;39,7;29;3,1;0;355;37,8;0,8;17,4;23,8;41,2;1;17,5;0;0
01-04-2023;33,9;26;3,9;0;359;31,5;0,4;4,3;9,1;11;0,7;18,4;0;0
02-04-2023;18,8;11;3;0,1;356;27,3;0,3;5,5;6,2;9,2;0,7;17,7;0;0
03-04-2023;18,8;16;3,3;0;359;23,1;0,6;23;9,6;31,9;1;18,7;0;0
04-04-2023;35,3;16;3,6;0;341;30,1;0,5;4,3;14,2;16,7;0,8;17,9;0;0
05-04-2023;49,7;29;3,2;15,4;344;49,5;1,1;33,6;24,8;55,2;1,2;20,5;0;0
06-04-2023;31,5;26;1,9;0,1;320;45,1;0,7;6,2;17,8;24;0,9;18,6;0;0
07-04-2023;30,5;28;2,4;5,1;339;48,6;0,8;15,6;18,2;32,1;1;19,6;0;0
08-04-2023;45,8;36;2,7;12;349;32,4;0,8;17,3;22,3;29,4;1,2;17;0;0
09-04-2023;20;18;5,4;0;251;33,6;0,4;2,4;7,8;10,2;0,6;16,9;0;0
10-04-2023;18,5;16;4,3;0;192;25,8;0,4;7,2;10,1;16,1;0,7;17,5;0;0
11-04-2023;58;15;3,3;0;346;27;0,9;10,4;28,4;38,7;1;19,8;0;0
12-04-2023;22,5;18;2,4;0,4;347;28,6;0,6;10;10,9;21;0,8;19,1;0;0
13-04-2023;32;21;3,4;0;330;31,5;0,6;13,1;17,1;29;0,6;21,3;0;0
14-04-2023;58;26;3,4;0;355;35,7;0,6;11;22,7;33,7;1;20,1;0;0
15-04-2023;42,1;28;3,5;0;355;32,9;0,8;17,6;21,2;38,8;0,6;19,5;0;0
16-04-2023;33,7;22;1,6;3;356;32,2;1,2;15,9;31,5;47,4;0,8;16,4;0;0
17-04-2023;49;36;2;14,5;343;53;1,7;66,8;48,4;99;1,8;20,4;0;0
18-04-2023;39;27;1,8;0,7;288;38,9;1,2;47,1;34,7;72,1;1,3;18,6;0;0
19-04-2023;70,3;31;3,8;26,3;311;37;1,8;106;28,5;125,5;2,4;20,1;0;0
20-04-2023;34,4;19;4,6;0;346;31,1;0,8;15,2;17,5;32,7;0,4;18,2;0;0
21-04-2023;43,1;26;1,8;0,1;337;28,2;1,2;19,7;33,8;53,5;0,8;16,9;0;0
22-04-2023;50,4;30;1,8;0,1;321;33,9;1,1;24,4;40,5;60,4;1,6;17,5;0;0
23-04-2023;33,2;18;2,6;0;351;33,7;0,8;17,9;24,3;39,3;1,3;20,1;0;0
24-04-2023;47,8;23;2,4;0,3;359;23,2;1,3;58,3;22,8;81;1,4;18;0;0
25-04-2023;54,3;33;2,4;0,8;358;33,3;1,5;81,1;29,7;102,2;1,9;19,3;0;0
26-04-2023;30,7;18;2,4;0,5;349;20,3;1,2;49,5;19,1;68,6;1,1;17,4;0;0
27-04-2023;45,1;20;3,2;0;345;20,6;1,3;69;20,9;87,4;1,4;19;0;0
28-04-2023;22,5;9;3,8;0,6;243;19,5;0,8;36,4;14,8;51,2;0,9;18,9;0;0
29-04-2023;14,9;9;3,4;0;168;15;0,5;12,4;7,7;20,1;0,3;18,5;0;0
30-04-2023;20,3;6;2,8;0,2;331;15,5;0,4;5,4;10,5;15,9;0,4;18,1;0;0
01-05-2023;12,4;6;2,6;0,5;272;21,3;0,4;8,7;9,9;16,3;0,3;18,9;0;0
02-05-2023;35,2;11;1,6;0;350;25,3;0,7;32,8;14,7;47,2;0,7;18,5;0;0
